name,aliases,place,wikidata,coordinates,region,ru_group,usage
vovchyi yar,vovchyi yar;вовчий яр;волчий яр,village,Q4124254,"[37.4098729, 49.9064182]",kharkiv oblast,sever group of forces,0
berezivka,berezivka;berezovka;березовка;березівка,hamlet,Q4084611,"[38.520809, 49.904709]",luhansk oblast,zapad group of forces,0
putnykove,putnykove;путникове;путниково,village,Q4384380,"[37.6299543, 49.9048864]",kharkiv oblast,sever group of forces,0
berezivka,berezivka;berezovka;березовка;березівка;берёзовка,town,Q4084616,"[36.0674414, 49.9043196]",kharkiv oblast,sever group of forces,0
hryniv yar,hryniv yar;гринев яр;гринів яр,village,Q4149614,"[34.9903457, 49.9029588]",kharkiv oblast,sever group of forces,0
stepove,stepove;stepovoe;stepovoye;степове;степовое,village,Q4442217,"[35.1456911, 49.9021478]",kharkiv oblast,sever group of forces,0
kovalivske,kovalivske;kovalovskoye;ковалевское;ковалівське,village,Q4225380,"[35.1061093, 49.9033309]",kharkiv oblast,sever group of forces,0
khroly,khroly;хроли;хролы,village,Q4501539,"[36.367218, 49.902187]",kharkiv oblast,sever group of forces,0
zolochivske,zolochivske;zolochovskoye;золочевское;золочівське,village,Q4193708,"[35.7602335, 49.8992423]",kharkiv oblast,sever group of forces,0
fyholivka,fyholivka;fyholovka;фиголевка;фиголівка,village,Q4483454,"[37.7019127, 49.9014142]",kharkiv oblast,sever group of forces,0
petrenkove,petrenkove;петренкове;петренково,village,Q4360512,"[35.6887503, 49.9012943]",kharkiv oblast,sever group of forces,0
shevchenkove,shevchenko;shevchenkove;shevchenkovo;шевченкове;шевченково,village,Q4522238,"[37.20966, 49.899899]",kharkiv oblast,sever group of forces,0
odrada,odrada;одрада;отрада,village,Q4339929,"[35.014458, 49.8995668]",kharkiv oblast,sever group of forces,0
trokhymivka,trokhymivka;trokhymovka;трофимовка;трохимівка,village,Q4463943,"[35.58987, 49.898869]",kharkiv oblast,sever group of forces,0
panasivka,panasivka;panasovka;панасовка;панасівка,village,Q4343865,"[35.2726283, 49.8993788]",kharkiv oblast,sever group of forces,0
bairak,bairak;bayrak;байрак,village,Q4075677,"[35.8852505, 49.8939231]",kharkiv oblast,sever group of forces,0
babai,babai;бабаи;бабаї,town,Q4074161,"[36.20253, 49.8914871]",kharkiv oblast,sever group of forces,0
koverivka,koverivka;koverovka;коверовка;коверівка,village,Q4225766,"[35.6620226, 49.8980364]",kharkiv oblast,sever group of forces,0
dokuchaievske,dokuchaievske;komunist;докучаевское;докучаєвське;коммунист;комуніст,village,Q4229885,"[36.4495737, 49.894032]",kharkiv oblast,sever group of forces,0
hvozdove,hvozdove;гвоздево;гвоздьове,village,Q4134546,"[35.3713253, 49.8932914]",kharkiv oblast,sever group of forces,0
serednii burluk,serednii burluk;середній бурлук;средний бурлук,village,Q4438602,"[37.3053018, 49.8940054]",kharkiv oblast,sever group of forces,0
vysokyi,vysokyi;високий;высокий,town,Q4129291,"[36.1286649, 49.8911681]",kharkiv oblast,sever group of forces,0
budy,budy;буди;буды,town,Q4098214,"[36.0238227, 49.8915881]",kharkiv oblast,sever group of forces,0
rozsokhivka,rozsokhivka;rozsokhovka;рассоховка;розсохівка,village,Q4390476,"[35.6105446, 49.897405]",kharkiv oblast,sever group of forces,0
nova berezivka,nova berezivka;novaya berezovka;нова березівка;новая березовка,village,Q4321957,"[36.09798, 49.8913287]",kharkiv oblast,sever group of forces,0
bohdanivske,bohdanivske;bohdanovskoye;zhovtneve;богдановское;богданівське,village,Q4180891,"[37.828331, 49.890968]",kharkiv oblast,sever group of forces,0
dovhenke,dovhenke;довгеньке;довгенькое,village,Q4163978,"[37.634734, 49.8903531]",kharkiv oblast,sever group of forces,0
prosianka,prosianka;просянка,village,Q4381620,"[37.380638, 49.890629]",kharkiv oblast,sever group of forces,0
hladkivka,hladkivka;hladkovka;гладковка;гладківка,village,Q4139313,"[35.2843576, 49.8885899]",kharkiv oblast,sever group of forces,0
oliinyky,oliinyky;олейники;олійники,village,Q4333511,"[35.023774, 49.8887854]",kharkiv oblast,sever group of forces,0
maltsivka,maltsivka;maltsovka;мальцевка;мальцівка,village,Q4279520,"[37.9910292, 49.8901522]",kharkiv oblast,sever group of forces,0
shevchenkove,shevchenko;shevchenkove;shevchenkovo;шевченкове;шевченково,village,Q4522201,"[35.6821718, 49.8909112]",kharkiv oblast,sever group of forces,0
novomlynsk,novomlynsk;новомлинськ;новомлынск,village,Q4324570,"[37.73486, 49.8817912]",kharkiv oblast,sever group of forces,0
viazova,viazova;в'язова;вязова;вязовая,village,Q4130263,"[35.116421, 49.887199]",kharkiv oblast,sever group of forces,0
zatyshne,radhospne;zatishne;zatishnoe;zatishnoye;zatyshne;затишне;затишное;радгоспное,village,Q4387120,"[36.1650654, 49.8697479]",kharkiv oblast,sever group of forces,0
terny,terny;терни;терны,village,Q4456103,"[38.026772, 49.885479]",kharkiv oblast,sever group of forces,0
kasianivka,kasianivka;kasianovka;касьяновка;касянівка,village,Q4216994,"[37.5625827, 49.885332]",kharkiv oblast,sever group of forces,0
krasne,krasne;krasnoe;krasnoye;красне;красное,village,Q4238585,"[37.2126763, 49.8836976]",kharkiv oblast,sever group of forces,0
pashchenivka,pashchenivka;pashchenovka;пащеновка;пащенівка,village,Q4347696,"[35.211182, 49.88205]",kharkiv oblast,sever group of forces,0
perekip,perekip;левандалівка;перекоп;перекіп,village,Q4350397,"[35.4926619, 49.8824911]",kharkiv oblast,sever group of forces,0
novoznamianka,novoznamianka;новознам'янка;новознаменка;новознамянка,village,Q4324037,"[38.124619, 49.881359]",luhansk oblast,zapad group of forces,0
semkivka,semkivka;semkovka;семковка;семківка,village,Q4415592,"[35.649572, 49.8808225]",kharkiv oblast,sever group of forces,0
prymorske,primorskoe;primorskoye;prymorske;новокомсомольське;приморское;приморське,village,Q4324241,"[37.022549, 49.880329]",kharkiv oblast,sever group of forces,0
bidriahy,bidriahy;бедряги;бідряги,village,Q4080679,"[35.9836834, 49.8778124]",kharkiv oblast,sever group of forces,0
mykhailivka,mikhailovka;mikhaylovka;mykhailivka;mykhailovka;mykhaylivka;mykhaylovka;михайловка;михайлівка,village,Q4297547,"[35.071819, 49.878277]",kharkiv oblast,sever group of forces,0
svitanok,svitanok;свитанок;світанок,village,Q4410960,"[36.465, 49.8769]",kharkiv oblast,sever group of forces,0
huzivka,huzivka;huzovka;гузовка;гузівка,village,Q4151725,"[35.5964986, 49.8776564]",kharkiv oblast,sever group of forces,0
kutkivka,kutkivka;kutkovka;кутьковка;кутьківка,village,Q4249734,"[37.5933062, 49.8746281]",kharkiv oblast,sever group of forces,0
lozova persha,lozova persha;lozova pervaya;лозова перша;лозовая первая,village,Q4265569,"[37.5265581, 49.8740977]",kharkiv oblast,sever group of forces,0
luhove,lugove;lugovoye;luhove;лугове;луговое,village,Q4268058,"[38.564758, 49.87587]",luhansk oblast,zapad group of forces,0
kamiana yaruha,kamiana yaruha;кам'яна яруга;каменная яруга;камяна яруга,village,Q4211126,"[36.597874, 49.892838]",kharkiv oblast,sever group of forces,0
ivanivka,ivanivka;ivanovka;ивановка;тихий берег;іванівка,village,Q4196472,"[37.314385, 49.8755352]",kharkiv oblast,sever group of forces,0
mykolaivka persha,mykolaivka persha;nikolayevka pervaya;миколаївка перша;николаевка первая,village,Q4320397,"[37.4357908, 49.8788082]",kharkiv oblast,sever group of forces,0
bystre,bystre;бистре;быстрое,village,Q4101183,"[35.9487051, 49.8769086]",kharkiv oblast,sever group of forces,0
polkovnyche,chervonoarmiiske;polkovnyche;полковниче;червоноармейское,village,Q6666751,"[37.2384589, 49.8737966]",kharkiv oblast,sever group of forces,0
kolodkivka,kolodkivka;kolodkovka;колодковка;колодківка,village,Q4228197,"[35.654182, 49.874897]",kharkiv oblast,sever group of forces,0
kut,kut;кут,village,Q4249411,"[35.8870942, 49.8760429]",kharkiv oblast,sever group of forces,0
tsybivka,tsybivka;tsybovka;цибівка;цыбовка,village,Q4506280,"[37.3973816, 49.8705949]",kharkiv oblast,sever group of forces,0
mykolaivka druha,mykolaivka druha;nikolayevka vtoraya;миколаївка друга;николаевка вторая,village,Q4320392,"[37.4582411, 49.8724413]",kharkiv oblast,sever group of forces,0
vilshany,vilshany;вільшани;ольшаны,village,Q4334471,"[38.494598, 49.871265]",luhansk oblast,zapad group of forces,0
lozove,lozove;lozovoe;lozovoye;лозове;лозовое,village,Q4265607,"[37.2029275, 49.8682206]",kharkiv oblast,sever group of forces,0
shyshkivka,shyshkivka;shyshkovka;хутір шишківський;шишковка;шишківка,village,Q6657351,"[37.29137, 49.87072]",kharkiv oblast,sever group of forces,0
bezliudivka,bezliudivka;bezliudovka;безлюдовка;безлюдівка,town,Q829969,"[36.29848, 49.87072]",kharkiv oblast,sever group of forces,0
petropavlivka,petropavlivka;petropavlovka;петропавловка;петропавлівка,village,Q4361495,"[35.16827, 49.870029]",kharkiv oblast,sever group of forces,0
fedosiivka,fedosiivka;fedosiovka;федосеевка;федосіївка,hamlet,Q4482113,"[38.441486, 49.869469]",luhansk oblast,zapad group of forces,0
novyi burluk,novy burluk;novyi burluk;новий бурлук;новый бурлук,village,Q4326595,"[37.0952089, 49.8693605]",kharkiv oblast,sever group of forces,0
rzhavets,rzhavets;ржавец;ржавець,village,Q4394164,"[36.141826, 49.8599098]",kharkiv oblast,sever group of forces,0
lozova druha,lozova druha;lozova vtoraya;лозова друга;лозовая вторая,village,Q7237397,"[37.5587577, 49.8691197]",kharkiv oblast,sever group of forces,0
petrivka,petriivka;petrivka;petrovka;pyotrovka;петровка;петрівка,village,Q4360968,"[38.80268, 49.86729]",luhansk oblast,zapad group of forces,0
kostiv,kostiv;костев;костов;костів,village,Q4235269,"[35.631924, 49.86237]",kharkiv oblast,sever group of forces,0
kashkarne,kashkarne;кашкарне;кашкарное,village,Q4218207,"[38.107983, 49.861588]",luhansk oblast,zapad group of forces,0
lozne,lozne;лозне;лозное,village,Q4265501,"[38.82843, 49.8642]",luhansk oblast,zapad group of forces,0
shevchenkove,shevchenko;shevchenkove;shevchenkovo;шевченкове;шевченково,village,Q4522258,"[37.3038247, 49.8682396]",kharkiv oblast,sever group of forces,0
