osm_type,osm_id,place,name,name:uk,wikidata,lat,lon
node,256614012,town,Zalisne,Залісне,Q4185199,48.03128,38.80981
node,256614035,town,Andriivka,Андріївка,Q4065645,48.11462,38.71719
node,256614036,town,Brazhyne,Бражине,Q4095675,47.9961594,38.8266259
node,256614037,town,Pervomaiskyi,Первомайський,Q4349342,47.9727591,38.7883867
node,256614038,hamlet,,Балка,Q4512414,47.97223,38.73625
node,256614039,town,Lymanchuk,Лиманчук,Q4261742,48.0148985,38.8246797
node,256614040,town,Nykyforove,Никифорове,Q4319973,48.00759,38.85418
node,256614041,village,Tsupky,Цупки,Q4506174,48.0059144,38.3452921
node,256614042,village,Vodobud,Водобуд,Q4114047,48.0239,38.22066
node,256614043,village,Vynohradne,Виноградне,Q4111687,47.9189206,38.2304894
node,256614045,town,Ilovaisk,Іловайськ,Q2415345,47.9248328,38.1976205
node,256614047,village,Pivche,Півче,Q4347767,47.98965,38.31001
node,256614049,town,Shyroke,Широке,Q4524449,47.95738,38.2307
node,256614050,village,Mykolaivka,Миколаївка,Q4320374,48.0011372,38.2457047
node,256614066,town,Zuivka,Зуївка,Q4194599,48.0624786,38.250382
node,256614067,town,Troitsko-Khartsyzk,Троїцько-Харцизьк,Q4463576,47.9688438,38.2677278
node,256614068,town,Pokrovka,Покровка,Q4369200,47.93472,38.27843
node,256614069,town,Khartsyzk,Харцизьк,Q1003757,48.0339524,38.149804
node,256614070,town,Vuhledar,Вугледар,Q2416423,47.7809924,37.2460771
node,256614071,town,Hirne,Гірне,Q4119436,48.06081,38.1974
node,256614072,town,,Благодатне,Q7293235,47.9678372,38.2103002
node,256614073,village,Viktoriia,Вікторія,Q4111041,48.06793,38.48545
node,256614074,village,Hirne,Гірне,Q4144595,48.03712,38.54622
node,256614075,village,Dorofiienko,Дорофієнко,Q4166988,48.0709769,38.4710424
node,256614076,village,Zarichne,Зарічне,Q4187262,48.0642203,38.5119453
node,256614078,town,Stizhkivske,Стіжківське,Q4442750,48.1184,38.4724
node,256614081,locality,,Буруцького,Q12085831,48.1193411,38.4098083
node,256614084,village,Vinnytske,Вінницьке,Q4111623,48.094835,38.4503003
node,256614087,village,Chumaky,Чумаки,Q4517993,48.0973205,38.4782962
node,256614088,town,,Куликівське,Q4304370,48.1097333,38.54055
node,256614089,town,Serdyte,Сердите,Q4417210,48.04047,38.39439
node,256614090,village,Dubove,Дубове,Q4169457,47.99343,38.41541
node,256614091,village,Lobanivka,Лобанівка,Q4264644,48.0721316,38.3727879
node,256614092,village,Tretiaky,Третяки,Q4462733,47.91318,38.20616
node,256614096,hamlet,Vedmezhe,Ведмеже,Q4287544,48.0353247,38.1918744
node,256614098,town,Shakhtarsk,Шахтарськ,Q29756,48.0550423,38.4459474
